No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,AAPL,Apple Inc,3405396928000,222.08,1.50%,381623000000
2,MSFT,Microsoft Corporation,3109306788096,418.35,-1.08%,245122000000
3,NVDA,NVIDIA Corporation,2878692000000,117.02,12.81%,79774000000
4,GOOGL,Alphabet Inc.,2120699367232,171.54,0.73%,328284000000
5,AMZN,"Amazon.com, Inc.",1945826068000,186.98,2.90%,590740000000
6,META,"Meta Platforms, Inc.",1204422534186,474.83,2.51%,142711000000
7,BRK-B,Berkshire Hathaway Inc.,945591531981,438.50,-0.63%,368958000000
8,LLY,Eli Lilly and Company,764382229350,804.27,1.78%,35932100000
9,TSM,Taiwan Semiconductor Manufacturing Company Limited,751917257805,165.80,7.29%,70201532604
10,AVGO,Broadcom Inc.,747946118400,160.68,11.96%,42619000000
11,TSLA,"Tesla, Inc.",741380104800,232.07,4.24%,95318000000
12,JPM,JPMorgan Chase & Co.,611091376000,212.80,-1.11%,161689000000
13,NVO,Novo Nordisk A/S,589495565226,132.63,2.63%,35346309696
14,WMT,Walmart Inc.,552108585600,68.64,-0.79%,657332000000
15,XOM,Exxon Mobil Corporation,531986438700,118.59,0.36%,341101000000
16,UNH,UnitedHealth Group Incorporated,530289021600,576.16,-0.03%,379487000000
17,V,Visa Inc.,524939198875,265.67,0.98%,34918000000
18,MA,Mastercard Incorporated,427758563700,463.71,3.63%,26390000000
19,ORCL,Oracle Corporation,384304677000,139.45,2.79%,52961000000
20,JNJ,Johnson & Johnson,379982834000,157.85,-2.16%,78713000000
21,PG,The Procter & Gamble Company,379416106400,160.76,-0.58%,84060000000
22,ASML,ASML Holding N.V.,368518521348,936.70,8.89%,27357849462
23,HD,"The Home Depot, Inc.",365072610240,368.16,1.23%,151830000000
24,COST,Costco Wholesale Corporation,364421370000,822.00,1.48%,253695000000
25,ABBV,AbbVie Inc.,327251028400,185.32,-0.78%,54403000000
26,BAC,Bank of America Corporation,315239114700,40.31,-2.35%,98141000000
27,CVX,Chevron Corporation,295741395900,160.47,0.56%,198872000000
28,KO,The Coca-Cola Company,287640723800,66.74,-1.39%,46465000000
29,MRK,"Merck & Co., Inc.",286536795300,113.13,-1.84%,61402000000
30,NFLX,"Netflix, Inc.",269665827750,628.35,0.93%,36304243000
31,TM,Toyota Motor Corporation,260691847575,193.55,0.23%,297855515192
32,CRM,"Salesforce, Inc.",250777200000,258.80,0.34%,35743000000
33,SAP,SAP SE,246831400000,211.60,2.34%,35230534212
34,AZN,AstraZeneca PLC,245407741000,79.15,1.60%,49133000000
35,ADBE,Adobe Inc.,244601610000,551.65,2.40%,20429000000
36,PEP,"PepsiCo, Inc.",237174331900,172.67,-0.29%,92054000000
37,SHEL,Shell plc,234911359900,73.22,1.74%,323183000000
38,TMO,Thermo Fisher Scientific Inc.,234121691440,613.34,-0.28%,42492000000
39,AMD,"Advanced Micro Devices, Inc.",233524468800,144.48,4.36%,22800000000
40,NVS,Novartis AG,218109085366,111.48,-0.40%,48860000000
41,LIN,Linde plc,218004706000,453.50,0.59%,32761000000
42,TMUS,"T-Mobile US, Inc.",213604818000,182.28,3.95%,78520000000
43,ACN,Accenture plc,207095078080,330.62,0.43%,64475845000
44,WFC,Wells Fargo & Company,206878228800,59.34,-1.12%,82731000000
45,QCOM,QUALCOMM Incorporated,201940200000,180.95,8.39%,36406000000
46,DHR,Danaher Corporation,200110778040,277.08,0.69%,21105000000
47,CSCO,"Cisco Systems, Inc.",195195844500,48.45,0.64%,55364000000
48,MCD,McDonald's Corporation,191269002800,265.40,-0.39%,25764900000
49,TXN,Texas Instruments Incorporated,186087905260,203.81,2.06%,16092000000
50,GE,GE Aerospace,184549562000,170.20,1.62%,61916000000
51,ABT,Abbott Laboratories,184296402200,105.94,0.59%,40326000000
52,INTU,Intuit Inc.,180964750450,647.35,1.82%,15813000000
53,AXP,American Express Company,179889172480,253.04,0.22%,58107000000
54,PM,Philip Morris International Inc.,179050768000,115.16,0.40%,36449000000
55,AMGN,Amgen Inc.,178348544118,332.47,-0.24%,29532000000
56,IBM,International Business Machines Corporation,176500380420,192.14,0.58%,62070000000
57,AMAT,"Applied Materials, Inc.",175696295000,212.20,7.86%,26501000000
58,PFE,Pfizer Inc.,173057658600,30.54,-2.71%,55094000000
59,BX,Blackstone Inc.,172813814469,142.15,0.57%,10328824000
60,DIS,The Walt Disney Company,170800617600,93.69,-0.11%,89203000000
61,VZ,Verizon Communications Inc.,170569750400,40.52,1.20%,134243000000
62,CAT,Caterpillar Inc.,169310148600,346.20,1.31%,66997000000
63,BABA,Alibaba Group Holding Limited,168995438572,78.85,1.09%,130717777778
64,NOW,"ServiceNow, Inc.",167764340000,814.39,1.95%,9955000000
65,MS,Morgan Stanley,167732763600,103.21,0.36%,54762000000
66,HSBC,HSBC Holdings plc,167218443000,45.15,3.72%,66058000000
67,PDD,PDD Holdings Inc.,164419700497,128.89,4.65%,41224196389
68,GS,"The Goldman Sachs Group, Inc.",164143849920,509.03,0.66%,48243000000
69,CMCSA,Comcast Corporation,159428486200,41.27,1.13%,121114000000
70,ISRG,"Intuitive Surgical, Inc.",157993941940,444.61,2.75%,7572500000
71,RY,Royal Bank of Canada,157799228000,111.74,0.54%,39966666667
72,NEE,"NextEra Energy, Inc.",157008186500,76.39,2.84%,25850000000
73,TTE,TotalEnergies SE,156564250054,67.78,0.31%,212944000000
74,RTX,RTX Corp,156289897600,117.49,0.52%,72417000000
75,UL,Unilever PLC,152988789740,61.40,0.56%,64831182796
76,SPGI,S&P Global Inc.,151672017000,484.73,-0.77%,13276000000
77,ARM,Arm Holdings plc,151066406551,144.17,8.43%,3233000000
78,UNP,Union Pacific Corporation,150307422540,246.73,0.53%,24138000000
79,HDB,HDFC Bank Limited,146141156221,60.01,0.17%,22242005999
80,BHP,BHP Group Limited,140771832545,55.53,2.62%,55336000000
81,LOW,"Lowe's Companies, Inc.",139900190850,245.51,1.70%,85393000000
82,T,AT&T Inc.,138027120000,19.25,1.42%,122197000000
83,MUFG,"Mitsubishi UFJ Financial Group, Inc.",135820441602,11.62,5.35%,30790694864
84,UBER,"Uber Technologies, Inc.",134711354400,64.47,2.19%,38589000000
85,HON,Honeywell International Inc.,133020137250,204.75,1.04%,37334000000
86,INTC,Intel Corporation,130860180000,30.74,2.02%,55237000000
87,BLK,"BlackRock, Inc.",129897300000,876.50,0.45%,18344000000
88,SNY,Sanofi,129864873600,51.81,0.23%,50964516129
89,COP,Conoco Phillips,129471272000,111.20,1.17%,57533000000
90,LMT,Lockheed Martin Corporation,129170967360,541.92,0.79%,71069000000
91,VRTX,Vertex Pharmaceuticals Incorporated,127922033160,495.72,-1.37%,10185000000
92,TJX,"The TJX Companies, Inc.",127729553000,113.02,-0.19%,54913000000
93,BKNG,Booking Holdings Inc.,126041001775,3715.01,-0.16%,22002000000
94,PGR,The Progressive Corporation,125409655760,214.12,-0.72%,65047800000
95,SYK,Stryker Corporation,124742077500,327.45,-0.84%,20963000000
96,C,Citigroup Inc.,123754707200,64.88,-1.50%,78119000000
97,ELV,Elevance Health Inc.,123370308580,532.03,-0.79%,171959000000
98,ETN,Eaton Corporation plc,121855042000,304.79,6.11%,23656000000
99,BUD,Anheuser-Busch InBev SA/NV,121789719797,59.50,-0.13%,59380000000
100,MU,"Micron Technology, Inc.",121772808800,109.82,7.08%,21371000000
101,LRCX,Lam Research Corporation,120443838840,921.24,7.77%,14241136000
102,BA,The Boeing Company,117309153800,190.60,2.00%,73557000000
